run_id,display_name,backbone_combination,fusion_method,macro_f1,backbone,label,precision,recall,f1,support
20260603_004008_finetuned_targeted_r50_none_mlp_s42,r50,resnet50,none,0.6132380391629796,resnet50,akiec,0.3534482758620689,0.7884615384615384,0.4880952380952381,52
20260603_004008_finetuned_targeted_r50_none_mlp_s42,r50,resnet50,none,0.6132380391629796,resnet50,bcc,0.5949367088607594,0.6619718309859155,0.6266666666666667,71
20260603_004008_finetuned_targeted_r50_none_mlp_s42,r50,resnet50,none,0.6132380391629796,resnet50,bkl,0.5141242937853108,0.5449101796407185,0.5290697674418605,167
20260603_004008_finetuned_targeted_r50_none_mlp_s42,r50,resnet50,none,0.6132380391629796,resnet50,df,0.5238095238095238,0.55,0.5365853658536586,20
20260603_004008_finetuned_targeted_r50_none_mlp_s42,r50,resnet50,none,0.6132380391629796,resnet50,nv,0.9319654427645788,0.8595617529880478,0.894300518134715,1004
20260603_004008_finetuned_targeted_r50_none_mlp_s42,r50,resnet50,none,0.6132380391629796,resnet50,mel,0.503030303030303,0.497005988023952,0.5,167
20260603_004008_finetuned_targeted_r50_none_mlp_s42,r50,resnet50,none,0.6132380391629796,resnet50,vasc,0.7777777777777778,0.6666666666666666,0.717948717948718,21
20260603_004017_finetuned_targeted_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5845836137026694,mobilenet_v2,akiec,0.4098360655737705,0.4807692307692308,0.4424778761061947,52
20260603_004017_finetuned_targeted_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5845836137026694,mobilenet_v2,bcc,0.4461538461538462,0.8169014084507042,0.5771144278606966,71
20260603_004017_finetuned_targeted_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5845836137026694,mobilenet_v2,bkl,0.519774011299435,0.5508982035928144,0.5348837209302325,167
20260603_004017_finetuned_targeted_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5845836137026694,mobilenet_v2,df,0.5,0.45,0.4736842105263157,20
20260603_004017_finetuned_targeted_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5845836137026694,mobilenet_v2,nv,0.9407582938388626,0.7908366533864541,0.8593073593073594,1004
20260603_004017_finetuned_targeted_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5845836137026694,mobilenet_v2,mel,0.384,0.5748502994011976,0.460431654676259,167
20260603_004017_finetuned_targeted_mnv2_none_mlp_s42,mnv2,mobilenet_v2,none,0.5845836137026694,mobilenet_v2,vasc,0.7272727272727273,0.7619047619047619,0.7441860465116279,21
20260603_004025_finetuned_targeted_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5342174156746335,efficientnet_b0,akiec,0.375,0.6923076923076923,0.4864864864864865,52
20260603_004025_finetuned_targeted_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5342174156746335,efficientnet_b0,bcc,0.5111111111111111,0.647887323943662,0.5714285714285714,71
20260603_004025_finetuned_targeted_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5342174156746335,efficientnet_b0,bkl,0.4694835680751174,0.5988023952095808,0.5263157894736842,167
20260603_004025_finetuned_targeted_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5342174156746335,efficientnet_b0,df,0.1914893617021276,0.45,0.2686567164179104,20
20260603_004025_finetuned_targeted_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5342174156746335,efficientnet_b0,nv,0.9339735894357744,0.7749003984063745,0.8470332063146434,1004
20260603_004025_finetuned_targeted_effb0_none_mlp_s42,effb0,efficientnet_b0,none,0.5342174156746335,efficientnet_b0,mel,0.4510869565217391,0.497005988023952,0.4729344729344729,167
